"SITE","SURVEYID","OBS","DATE","TEMP","WINDS_0","WINDD","TRSCT","SECTION","WINDS","COMMENTS","s_dtime","e_dtime","FLAG","UNK","SOPPIP","COMPIP","MYOTI","PIP","DUNNO","PAUR","NOCTU","NOISE","fSECTION","DAYNO","TTMIDN","NOTURB","PASSES","ALL_PIPS","ALL_OTHER","pBUILD","pTREE","pRDTRK","pROADS","pRGRAS","EDGED","D_LIN","D_BUI","D_WAT","D_TRE","PC1a","PC2a","PC3a","PC4a","AREA_M2","AREA_ha","MID_X","MID_Y","sWINDS","min_air_temp"
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","E",2,0.9,NA,2013-05-29 00:53:00,2013-05-29 01:05:00,0,0,0,0,0,0,0,0,0,0,"2",148,53,2,0,0,0,0,0,0.0472936558550628,0.051238349306722,0,0.0398219423760378,18.6832653449742,209.889149124588,425.726256407891,308.047643451569,0.380365656030142,1.93931382801627,0.975732357669876,-0.368216243379259,13359.72,1.335972,352240.503203747,682270.993589142,-0.591289894961492,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","E",3,0.9,NA,2013-05-29 00:53:00,2013-05-29 01:05:00,0,0,0,0,0,0,0,0,0,0,"3",148,53,2,0,0,0,0,0,0.0541152018666078,0.0575225916550098,0,0.0399297001685761,19.5829567415883,278.321258567964,435.185879004998,351.998878229131,0.275052428198687,2.17963726300709,1.41029624430183,-0.185328877388933,10594.62,1.059462,352365.649808024,682289.484003921,-0.591289894961492,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","E",4,0,NA,2013-05-29 00:53:00,2013-05-29 01:05:00,0,0,0,0,0,0,0,0,0,0,"4",148,53,2,0,0,0,0,0,0.0514216687805215,0.0601820802862513,0,0.0400146396210051,19.6767607270644,363.16235749889,453.969362338353,290.201616494991,0.155647064839812,1.91161938928661,1.69754038708935,-0.246457935389037,10273.49,1.027349,352468.566821529,682308.328888668,-1.33040226366336,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","E",5,0,NA,2013-05-29 00:53:00,2013-05-29 01:05:00,0,0,0,0,0,0,0,0,0,0,"5",148,53,2,0,0,0,0,0,0.0488300287693001,0.0555605878310389,0,0.0399550639678792,19.9623427701048,435.002344841373,435.134104571051,196.473643777313,0.0514250512340454,1.35850429921906,1.81041648651713,-0.272652993668178,10156.66,1.015666,352569.048019033,682327.121203234,-1.33040226366336,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","N",1,2.3,NA,2013-05-29 01:17:00,2013-05-29 01:28:00,0,0,0,0,0,0,0,0,0,0,"1",148,77,2,0,0,0,0,0,0.0722878506639027,0.0334754225797472,0,0.0444752596667081,16.2104801612875,132.88099129748,480.180069460872,233.989365018512,0.964873397272775,1.87934952565896,0.648095379427058,-0.633165308693926,15591.14,1.559114,352156.000260361,682199.705406424,0.55844045635252,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","N",2,0,NA,2013-05-29 01:17:00,2013-05-29 01:28:00,0,0,0,0,0,0,0,0,0,0,"2",148,77,2,0,0,0,0,0,0.0407367863180413,0.0441345810396607,0,0.0349527983773112,21.2903456687466,222.456207368876,405.603365824498,322.480277637599,0.0189915040250622,1.86115488892144,0.865396773470179,-0.33609982536534,15510.06,1.551006,352220.989587474,682287.822094694,-1.33040226366336,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","N",3,0.2,NA,2013-05-29 01:17:00,2013-05-29 01:28:00,0,0,0,0,0,0,0,0,0,0,"3",148,77,2,0,0,0,0,0,0.00297763199733801,0.00229503124181248,0,0.012068350259707,24.088582760439,326.502404238834,307.398802230607,405.514822264296,-1.80541021122768,1.36440454611168,0.317323666261104,-0.080590607687362,12862.57,1.286257,352249.400507072,682393.044394076,-1.1661550706185,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","N",4,2,NA,2013-05-29 01:17:00,2013-05-29 01:28:00,0,0,0,0,0,0,0,0,0,0,"4",148,77,2,0,0,0,0,0,0,0,0,0.010073334599282,25.1170370571328,439.96810978463,185.372534842903,348.085717222785,-2.07631053253677,0.619523296100435,0.622267872341955,0.323468467655629,11058.9,1.10589,352220.683432933,682511.832396483,0.312069666785232,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","N",5,1.3,NA,2013-05-29 01:17:00,2013-05-29 01:28:00,0,0,0,0,0,0,0,0,0,0,"5",148,77,2,0,0,0,0,0,0,0,0,0.0100469133119475,23.8250015422738,544.593326563192,76.9212943613191,277.793941329751,-2.15805296967063,-0.112473680334137,0.949351586521255,0.685360937598853,10583.35,1.058335,352196.711595807,682617.717698263,-0.262795508871774,6.8
"East Fenton","East Fenton-1","JM",2013-05-29,"13","2.7","unk","S",1,2.1,NA,2013-05-29 00:38:00,2013-05-29 00:51:00,0,0,0,0,0,0,0,0,0,0,"1",148,38,2,0,0,0,0,0,0.0404270311197911,0,0,0.0351406921360947,18.1872165065183,92.4567643980876,522.349262798393,192.858459174014,0.11926323771573,1.50448229368179,-0.31496945387864,-1.12850694167581,15227.93,1.522793,352172.949970229,682159.930412803,0.394193263307661,6.8
