ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
09/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,7, , ,6,6, , , 2014-03-10 09:30,0, , , ,
10/03/2014 09:00, DCNN,6297,24,0, DLY3208,963,1012,14.4,4, , ,1,1, , , 2014-03-10 09:31,0, , , ,
10/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,14.4,4, , ,1,1, , , 2014-03-10 09:31,0, , , ,
10/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1022,9.4,4, , ,2006,6, , , 2014-06-10 09:31,0, , , ,
11/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.3,0.6, , ,1,1, , , 2014-03-11 12:50,0, , , ,
11/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.3,0.6, , ,6,6, , , 2014-03-11 12:50,0, , , ,
12/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13.5,-2, , ,2006,2006, , , 2014-06-10 10:48,0, , , ,
13/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,14,3, , ,2006,2006, , , 2014-06-10 10:48,0, , , ,
14/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,8.1, , ,1,1, , , 2014-03-14 10:14,0, , , ,
14/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,8.1, , ,6,6, , , 2014-03-14 10:14,0, , , ,
15/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,7.4, , ,1,1, , , 2014-03-17 08:29,0, , , ,
15/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.4,7.4, , ,6,6, , , 2014-03-17 08:29,0, , , ,
16/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13,8, , ,1,1, , , 2014-03-17 08:30,0, , , ,
16/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13,8, , ,6,6, , , 2014-03-17 08:30,0, , , ,
17/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13,9.4, , ,1,1, , , 2014-03-17 09:30,0, , , ,
17/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13,9.4, , ,6,6, , , 2014-03-17 09:30,0, , , ,
18/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,12.4,6.9, , ,1,1, , , 2014-03-18 09:32,0, , , ,
18/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,12.4,6.9, , ,6,6, , , 2014-03-18 09:32,0, , , ,
19/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,12.4,8.2, , ,1,1, , , 2014-03-19 09:35,0, , , ,
19/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,12.4,8.2, , ,6,6, , , 2014-03-19 09:35,0, , , ,
20/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13.7,8.9, , ,1,1, , , 2014-03-20 09:32,0, , , ,
20/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,13.7,8.9, , ,6,6, , , 2014-03-20 09:32,0, , , ,
21/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.4,3.4, , ,1,1, , , 2014-03-21 09:42,0, , , ,
21/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,9.4,3.4, , ,6,6, , , 2014-03-21 09:42,0, , , ,
22/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,2, , ,1,1, , , 2014-03-24 09:36,0, , , ,
22/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.2,2, , ,6,6, , , 2014-03-24 09:36,0, , , ,
23/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,2, , ,1,1, , , 2014-03-24 09:37,0, , , ,
23/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10,2, , ,6,6, , , 2014-03-24 09:37,0, , , ,
24/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.4,-2.5, , ,1,1, , , 2014-03-24 09:38,0, , , ,
24/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.4,-2.5, , ,6,6, , , 2014-03-24 09:38,0, , , ,
25/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.9,4.6, , ,1,1, , , 2014-03-25 09:37,0, , , ,
25/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.9,4.6, , ,6,6, , , 2014-03-25 09:37,0, , , ,
26/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.6,3.4, , ,1,1, , , 2014-03-26 10:05,0, , , ,
26/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,10.6,3.4, , ,6,6, , , 2014-03-26 10:05,0, , , ,
27/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.3,4.3, , ,1,1, , , 2014-03-27 09:24,0, , , ,
27/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,11.3,4.3, , ,6,6, , , 2014-03-27 09:24,0, , , ,
28/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.9,4.5, , ,1,1, , , 2014-03-28 09:45,0, , , ,
28/03/2014 09:00, DCNN,6297,24,1, DLY3208,963,1011,8.9,4.5, , ,6,6, , , 2014-03-28 09:45,0, , , ,
